Index,Polymer,Contact_angle,Thickness_um,Solvent,Solvent_solubility_parameter_Mpa_sqrt,xw_wt_percent,Temp_C,Permeate_pressure_mbar,J_Total_flux_kg_m_2h_1,a_Separation_factor_wo,Sum_of_frags
113,chitosan,55.1,45,ipa,23.5,20,60,3,0.8889,386.926848,"[2, 2, 11, 0, 5, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0]"
114,alginate,37.37,45,ethanol,26.5,30,60,3,1.0065,1287.923625,"[1, 1, 10, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
115,chitosan,55.1,45,ethanol,26.5,30,60,3,1.2486,41.246264,"[1, 3, 10, 0, 5, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0]"
116,chitosan,55.1,45,ipa,23.5,30,60,3,1.7778,118.076902,"[2, 2, 11, 0, 5, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0]"
117,alginate,37.37,45,ipa,23.5,20,60,3,2.0317,1394.215469,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
118,alginate,37.37,45,ipa,23.5,30,60,3,3.619,1000,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
119,alginate,37.37,40,ipa,23.5,5,30,1.33,0.0506,385.26,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
120,alginate,37.37,40,ipa,23.5,10,30,1.33,0.0677,171,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
121,alginate,37.37,40,ipa,23.5,10,40,1.33,0.0753,123.35,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
122,alginate,37.37,40,ipa,23.5,15,30,1.33,0.0998,103.31,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
123,alginate,37.37,40,ipa,23.5,20,30,1.33,0.0999,62.67,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
124,alginate,37.37,40,ipa,23.5,25,30,1.33,0.1,27,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
125,alginate,37.37,40,ipa,23.5,10,50,1.33,0.157,87.77,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
126,alginate,37.37,30,acetic_acid,21.4,10,30,13.3,0.022,15.7,"[1, 0, 10, 3, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
127,alginate,37.37,30,acetic_acid,21.4,20,30,13.3,0.069,21.8,"[1, 0, 10, 3, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
128,alginate,37.37,30,acetic_acid,21.4,30,30,13.3,0.258,6.31,"[1, 0, 10, 3, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
129,alginate,37.37,30,acetic_acid,21.4,50,30,13.3,0.477,2.7,"[1, 0, 10, 3, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
130,alginate,37.37,30,acetic_acid,21.4,40,30,13.3,0.485,3.96,"[1, 0, 10, 3, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
131,alginate,37.37,10,ethanol,26.5,5,30,13.3,0.028,22.331303,"[1, 1, 10, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
132,alginate,37.37,10,ethanol,26.5,4,40,13.3,0.036,27.914341,"[1, 1, 10, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
133,alginate,37.37,10,ethanol,26.5,10,30,13.3,0.036,10.556714,"[1, 1, 10, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
134,alginate,37.37,10,ethanol,26.5,15,30,13.3,0.053,6.58029,"[1, 1, 10, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
135,alginate,37.37,10,ethanol,26.5,4,50,13.3,0.098,25.792531,"[1, 1, 10, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
136,alginate,37.37,10,ethanol,26.5,4,60,13.3,0.121,23.932894,"[1, 1, 10, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
137,alginate,37.37,10,ipa,23.5,10,30,13.3,0.133,2423.432432,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
138,alginate,37.37,10,ipa,23.5,15,30,13.3,0.167,357.581197,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
139,alginate,37.37,10,ethanol,26.5,4,70,13.3,0.173,21.67079,"[1, 1, 10, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
140,alginate,37.37,10,ipa,23.5,12.6,40,13.3,0.183,534.978175,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
141,alginate,37.37,10,ipa,23.5,12.6,50,13.3,0.204,285.743152,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
142,alginate,37.37,10,ipa,23.5,20,30,13.3,0.232,223.272727,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
143,alginate,37.37,10,ipa,23.5,12.6,60,13.3,0.287,196.480147,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
144,alginate,37.37,10,ipa,23.5,12.6,70,13.3,0.332,159.806471,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
145,alginate,37.37,50,ipa,23.5,10,30,13.3,0.062,653,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
146,alginate,37.37,50,ipa,23.5,12.6,30,13.3,0.068,340,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
147,alginate,37.37,50,ipa,23.5,12.6,40,13.3,0.072,243,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
148,alginate,37.37,50,ipa,23.5,20,30,13.3,0.075,189,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
149,alginate,37.37,50,ipa,23.5,12.6,50,13.3,0.08,174,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
150,alginate,37.37,50,ipa,23.5,12.6,60,13.3,0.084,140,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
151,alginate,37.37,50,ipa,23.5,12.6,70,13.3,0.087,109,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
152,alginate,37.37,50,ipa,23.5,30,30,13.3,0.087,85,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
153,alginate,37.37,50,ipa,23.5,40,30,13.3,0.127,38,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
154,alginate,37.37,50,ipa,23.5,50,30,13.3,0.133,25,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
155,alginate,37.37,62.5,ethanol,26.5,10,30,13.3,0.027,35,"[1, 1, 10, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
156,alginate,37.37,62.5,ethanol,26.5,20,30,13.3,0.04,12,"[1, 1, 10, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
157,alginate,37.37,62.5,ethanol,26.5,30,30,13.3,0.042,6,"[1, 1, 10, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
158,alginate,37.37,62.5,ipa,23.5,10,30,13.3,0.067,653,"[2, 0, 11, 2, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
